symbol
ISG15
IFI44
HERC5
IFIT1
ZFP28
TSPYL5
ZNF542P
DIP2C
ZNF677
TMX4
ZNF732
SYK
ROR2
ABHD17A
POLR2E
ATP5D
TMEM259
TCF3
ARID3A
C19orf24
ARHGAP45
BSG
PLPP2
C19orf25
PAM
PTGS2
RPS6KA6
WLS
HCAR2
CRABP2
FBN2
CNTLN
ICA1
LRRCC1
ZFP42
HDX
NIBAN1
RAI14
