Protein symbol
ESYT1
VPS35
TRAP1
RPN1
TB182
ERO1A
TBB5
RL40
PYR1
NAMPT
TBA4A
G6PI
LONM
COASY
PNPH
CALD1
PSA
BGH3
ZCCHV
RL22
RAN
RS14
OTUB1
ANXA3
RS23
MIF
GARS
FEN1
RS8
CMC2
SERPH
BACH
FINC
KLH11
UBP14
MYH9
